[11/02/2026 19:31:52] 🔐 ACTION: BLOCK | Admin: Administrateur Principal Modifié | Cible: test (31) | Email: test111@gmail.com | Rôle: STARTUP
[11/02/2026 19:31:57] 🔐 ACTION: UNBLOCK | Admin: Administrateur Principal Modifié | Cible: test (31) | Email: test111@gmail.com | Rôle: STARTUP
[11/02/2026 19:32:02] 🔐 ACTION: BLOCK | Admin: Administrateur Principal Modifié | Cible: test (31) | Email: test111@gmail.com | Rôle: STARTUP
[11/02/2026 19:32:09] 🔐 ACTION: UNBLOCK | Admin: Administrateur Principal Modifié | Cible: test (31) | Email: test111@gmail.com | Rôle: STARTUP
[11/02/2026 19:33:09] 🔐 ACTION: BLOCK | Admin: Administrateur Principal Modifié | Cible: test (31) | Email: test111@gmail.com | Rôle: STARTUP
[11/02/2026 19:47:46] 🔐 ACTION: UNBLOCK | Admin: Administrateur Principal Modifié | Cible: test (31) | Email: test111@gmail.com | Rôle: STARTUP
[11/02/2026 19:52:22] 🔐 ACTION: BLOCK | Admin: mohammed | Cible: test (31) | Email: test111@gmail.com | Rôle: STARTUP
[11/02/2026 19:53:00] 🔐 ACTION: UNBLOCK | Admin: Administrateur Principal Modifié | Cible: test (31) | Email: test111@gmail.com | Rôle: STARTUP
[12/02/2026 20:11:09] 🔐 ACTION: BLOCK | Admin: Administrateur Principal Modifié | Cible: test (31) | Email: test111@gmail.com | Rôle: STARTUP
[12/02/2026 20:11:14] 🔐 ACTION: UNBLOCK | Admin: Administrateur Principal Modifié | Cible: test (31) | Email: test111@gmail.com | Rôle: STARTUP
[13/02/2026 17:14:29] 🔐 ACTION: BLOCK | Admin: Administrateur Principal Modifié | Cible: test (32) | Email: test88@gmail.com | Rôle: STARTUP
[13/02/2026 17:15:10] 🔐 ACTION: UNBLOCK | Admin: Administrateur Principal Modifié | Cible: test (32) | Email: test88@gmail.com | Rôle: STARTUP
[13/02/2026 21:59:33] 🔐 ACTION: BLOCK | Admin: rabie jlassi | Cible: test (32) | Email: test88@gmail.com | Rôle: STARTUP
[13/02/2026 21:59:36] 🔐 ACTION: UNBLOCK | Admin: rabie jlassi | Cible: test (32) | Email: test88@gmail.com | Rôle: STARTUP
[15/02/2026 14:45:49] 🔐 ACTION: BLOCK | Admin: rabie jlassi | Cible: test (32) | Email: test88@gmail.com | Rôle: STARTUP
[15/02/2026 14:45:52] 🔐 ACTION: UNBLOCK | Admin: rabie jlassi | Cible: test (32) | Email: test88@gmail.com | Rôle: STARTUP
[17/02/2026 10:33:14] 🔐 ACTION: BLOCK | Admin: rabie jlassi | Cible: jean dupont (34) | Email: jean.dupont@invest.com | Rôle: INVESTISSEUR
[19/02/2026 21:18:04] 🔐 ACTION: EDIT_EMAIL | Admin: rabie jlassi | Cible: jean dupont (ID:37) | Email: user1@gmail.com | Rôle: INVESTISSEUR
[19/02/2026 21:18:06] 🔐 ACTION: EDIT_NOM | Admin: rabie jlassi | Cible: jean dupont (ID:37) | Email: user1@gmail.com | Rôle: INVESTISSEUR
[19/02/2026 21:18:11] 🔐 ACTION: EDIT_ROLE | Admin: rabie jlassi | Cible: jean dupont (ID:37) | Email: user1@gmail.com | Rôle: STARTUP
[19/02/2026 21:18:14] 🔐 ACTION: EDIT_ROLE | Admin: rabie jlassi | Cible: jean dupont (ID:37) | Email: user1@gmail.com | Rôle: ADMIN
[19/02/2026 21:19:47] 🔐 ACTION: DEACTIVATE | Admin: rabie jlassi | Cible: jean dupont (ID:34) | Email: jean.ont@invest.com | Rôle: INVESTISSEUR
[19/02/2026 21:19:47] 🔐 ACTION: ACTIVATE | Admin: rabie jlassi | Cible: jean dupont (ID:34) | Email: jean.ont@invest.com | Rôle: INVESTISSEUR
[19/02/2026 21:19:48] 🔐 ACTION: DEACTIVATE | Admin: rabie jlassi | Cible: jean dupont (ID:34) | Email: jean.ont@invest.com | Rôle: INVESTISSEUR
[19/02/2026 21:19:49] 🔐 ACTION: ACTIVATE | Admin: rabie jlassi | Cible: jean dupont (ID:34) | Email: jean.ont@invest.com | Rôle: INVESTISSEUR
[19/02/2026 21:19:59] 🔐 ACTION: DEACTIVATE | Admin: rabie jlassi | Cible: test (ID:32) | Email: test88@gmail.com | Rôle: STARTUP
[19/02/2026 21:19:59] 🔐 ACTION: DEACTIVATE | Admin: rabie jlassi | Cible: jean dupont (ID:34) | Email: jean.ont@invest.com | Rôle: INVESTISSEUR
[19/02/2026 21:20:02] 🔐 ACTION: ACTIVATE | Admin: rabie jlassi | Cible: jean dupont (ID:34) | Email: jean.ont@invest.com | Rôle: INVESTISSEUR
[19/02/2026 21:30:07] 🔐 EDIT_EMAIL | Admin: rabie jlassi | Cible: jean dupont (ID:37) | Email: user1@gmail.com | Rôle: ADMIN
[19/02/2026 21:30:08] 🔐 EDIT_NOM | Admin: rabie jlassi | Cible: jean dupont (ID:37) | Email: user1@gmail.com | Rôle: ADMIN
[19/02/2026 21:30:13] 🔐 EDIT_EMAIL | Admin: rabie jlassi | Cible: jean dupont (ID:37) | Email: user1@gmail.com | Rôle: ADMIN
[19/02/2026 21:30:16] 🔐 ACTIVATE | Admin: rabie jlassi | Cible: test (ID:32) | Email: test88@gmail.com | Rôle: STARTUP
[19/02/2026 21:30:17] 🔐 DEACTIVATE | Admin: rabie jlassi | Cible: test (ID:32) | Email: test88@gmail.com | Rôle: STARTUP
[19/02/2026 21:30:18] 🔐 ACTIVATE | Admin: rabie jlassi | Cible: test (ID:32) | Email: test88@gmail.com | Rôle: STARTUP
[19/02/2026 21:32:42] 🔐 EDIT_EMAIL | Admin: rabie jlassi | Cible: jean dupont (ID:37) | Email: user1@gmail.com | Rôle: ADMIN
[19/02/2026 21:37:37] 🔐 EDIT_EMAIL | Admin: rabie jlassi | Cible: Administrateur Principal (ID:36) | Email: admin.profil@test.com | Rôle: ADMIN
[19/02/2026 21:37:38] 🔐 EDIT_NOM | Admin: rabie jlassi | Cible: Administrateur Principal (ID:36) | Email: admin.profil@test.com | Rôle: ADMIN
[19/02/2026 21:37:47] 🔐 EDIT_EMAIL | Admin: rabie jlassi | Cible: jean dupont (ID:34) | Email: jean.ont@invest.com | Rôle: INVESTISSEUR
[19/02/2026 21:39:35] 🔐 EDIT_EMAIL | Admin: rabie jlassi | Cible: test (ID:32) | Email: test88@gmail.com | Rôle: STARTUP
[19/02/2026 21:42:10] 🔐 DEACTIVATE | Admin: rabie jlassi | Cible: jean dupont (ID:34) | Email: jean.ont@invest.com | Rôle: INVESTISSEUR
[19/02/2026 21:42:11] 🔐 ACTIVATE | Admin: rabie jlassi | Cible: jean dupont (ID:34) | Email: jean.ont@invest.com | Rôle: INVESTISSEUR
[19/02/2026 21:42:14] 🔐 EDIT_EMAIL | Admin: rabie jlassi | Cible: jean dupont (ID:34) | Email: jean.ont@invest.com | Rôle: INVESTISSEUR
